# n=1000000000000000000,k=7,i_requested=2,i_effective=2,j=8,reason=cycle
# count_total=2159,count_divisible=1153,count_non_zero=1006
# count_divisible_k2_or_more=147,gamma=0.12749349522983522
# mean_non_zero=3.481113320079523,var_non_zero=2.8699216233414706,std_non_zero=1.694084302312453,skew_non_zero=0.04474332502922145
# shannon_entropy_non_zero=2.582764715641138,Hmax=2.584962500721156,ratio=0.9991497806720968,delta=0.002197785080018111
# cycle_start=1998 cycle_length=161
step,value,remainder,is_divisible_by_k,k_adic_valuation
355,47943198487769580,2,0,0
356,431488786389926328,0,1,1
357,61641255198560904,6,0,0
358,554771296787048460,0,1,1
359,79253042398149780,6,0,0
360,713277381583348344,0,1,1
361,101896768797621192,3,0,0
362,917070919178590890,0,1,1
363,131010131311227270,4,0,0
364,1179091181801045646,0,1,1
365,168441597400149378,4,0,0
366,1515974376601344618,0,1,1
367,216567768085906374,4,0,0
368,1949109912773157582,0,1,1
369,278444273253308226,1,0,0
370,2505998459279774088,0,1,1
371,357999779897110584,2,0,0
372,3221998019073995364,0,1,1
373,460285431296285052,3,0,0
374,4142568881666565630,0,1,2
375,591795554523795090,0,1,1
376,84542222074827870,3,0,0
377,760879998673450992,0,1,1
378,108697142667635856,5,0,0
379,978274284008722974,0,1,1
380,139753469144103282,6,0,0
381,1257781222296929862,0,1,2
382,179683031756704266,0,1,1
383,25669004536672038,3,0,0
384,231021040830048504,0,1,1
385,33003005832864072,5,0,0
386,297027052495776918,0,1,1
387,42432436070825274,5,0,0
388,381891924637427736,0,1,1
389,54555989233918248,6,0,0
390,491003903105264556,0,1,1
391,70143414729323508,6,0,0
392,631290732563911896,0,1,1
393,90184390366273128,2,0,0
394,811659513296458260,0,1,1
395,115951359042351180,5,0,0
396,1043562231381160890,0,1,1
397,149080318768737270,5,0,0
398,1341722868918635700,0,1,1
399,191674695559805100,6,0,0
400,1725072260038246224,0,1,1
401,246438894291178032,3,0,0
402,2217950048620602450,0,1,1
403,316850006945800350,1,0,0
404,2851650062512203204,0,1,1
405,407378580358886172,1,0,0
406,3666407223229975602,0,1,1
407,523772460461425086,2,0,0
408,4713952144152825882,0,1,1
409,673421734878975126,2,0,0
410,6060795613910776242,0,1,1
411,865827944844396606,2,0,0
412,7792451503599569562,0,1,1
413,1113207357657081366,1,0,0
414,10018866218913732348,0,1,1
415,1431266602701961764,4,0,0
416,12881399424317656092,0,1,1
417,1840199917759665156,2,0,0
418,16561799259836986512,0,1,1
419,2365971322833855216,4,0,0
420,21293741905504697160,0,1,1
421,3041963129357813880,2,0,0
422,27377668164220325028,0,1,1
423,3911095452031475004,3,0,0
424,35199859068283275198,0,1,1
425,5028551295469039314,4,0,0
426,45256961659221354042,0,1,2
427,6465280237031622006,0,1,1
428,923611462433088858,2,0,0
429,8312503161897799830,0,1,2
430,1187500451699685690,0,1,1
431,169642921671383670,6,0,0
432,1526786295042453354,0,1,1
433,218112327863207622,5,0,0
434,1963010950768868868,0,1,1
435,280430135824124124,6,0,0
436,2523871222417117440,0,1,1
437,360553031773873920,2,0,0
438,3244977285964865388,0,1,1
439,463568183709266484,2,0,0
440,4172113653383398464,0,1,1
441,596016236197628352,1,0,0
442,5364146125778655222,0,1,1
443,766306589396950746,4,0,0
444,6896759304572556930,0,1,1
445,985251329224650990,5,0,0
446,8867261963021859180,0,1,1
447,1266751709003122740,6,0,0
448,11400765381028104984,0,1,1
449,1628680768718300712,2,0,0
450,14658126918464706516,0,1,1
451,2094018131209243788,3,0,0
452,18846163180883194254,0,1,1
453,2692309025840456322,6,0,0
454,24230781232564107222,0,1,1
455,3461540176080586746,6,0,0
456,31153861584725281038,0,1,2
457,4450551654960754434,0,1,1
458,635793093565822062,3,0,0
459,5722137842092398720,0,1,1
460,817448263156056960,1,0,0
461,7357034368404512694,0,1,2
